date;airPressure_7h;airPressure_14h;airPressure_19h;skyCover_7h;skyCover_14h;skyCover_19h;temp_7h;temp_14h;temp_19h;hum_7h;hum_14h;hum_19h;windDir_7h;windBeauf_7h;windDir_14h;windBeauf_14h;windDir_19h;windBeauf_19h;precip;precipType
01.01.2009;999.7;998.8;1000.7;10;5;10;-4.5;-0.1;-1.8;79;71;72;W;2;NW;2;NW;2;0;
02.01.2009;999.6;998.5;999.8;10;9;10;-3;-1.3;-1.7;67;66;68;;0;W;2;W;3;traces;snow
03.01.2009;1002.7;1000;998.1;3;5;1;-4.8;;-3.9;83;70;70;N;2;E;2;S;2;0;
04.01.2009;993.4;991;990.1;5;9;9;-3.8;-0.2;-0.5;75;62;63;W;4;W;4;W;3;traces;snow
05.01.2009;988.4;;992.3;9;10;10;-0.7;-0.6;-1.3;64;76;80;W;4;W;3;W;2;traces;snow
06.01.2009;996.7;996;995.6;10;10;10;-4.4;-3.8;-4.1;87;86;85;NE;2;E;3;E;3;traces;snow
07.01.2009;993.4;993.2;994.7;10;10;9;-4;-3.7;-5.3;79;72;78;SE;1;NW;2;N;1;traces;snow
08.01.2009;1002.8;1006.3;1007.8;1;2;0;-4.4;-2;-5.1;72;61;76;NW;4;N;1;NE;2;0;
09.01.2009;1005.6;1004.5;1005.3;0;0;1;-8.5;-2;-6.4;86;63;79;NE;2;NE;2;W;1;0;
10.01.2009;1007;1006.9;1007.4;4;2;0;-10.6;-4;-7.2;88;70;80;;0;E;2;E;2;traces;snow
11.01.2009;1009.9;1011.3;1011.9;10;10;10;-7.7;-7.4;-7.2;91;89;87;SE;2;S;2;S;3;traces;snow
12.01.2009;1009.8;1007.7;1006.6;10;10;10;-7;-6;-6.6;94;92;91;SE;4;SE;3;SE;4;0.1;graupel
13.01.2009;1002.2;999.1;997.6;10;10;10;-6.6;-6;-5.9;88;87;89;S;3;S;3;SE;3;traces;snow and graupel
14.01.2009;992.4;990.4;991.4;10;10;10;-5.7;-3.9;-3.7;87;87;86;SE;2;NE;1;E;1;4.3;snow
15.01.2009;994.2;995.4;997.4;10;9;10;-1.2;2.8;1.4;79;74;81;NW;1;NW;2;NW;1;0;
16.01.2009;999.3;1000.7;1001.9;8;5;1;0.9;3.1;-0.9;86;69;86;NW;1;NW;2;N;2;0;
17.01.2009;1000.1;998.6;997;1;5;9;-6.8;-2.2;-2.3;92;80;84;NE;1;NE;2;SE;2;0;
18.01.2009;992.7;986.6;982.9;10;10;10;-2.6;-3.4;-2.9;94;94;95;S;1;SE;3;SE;2;0.4;snow and graupel
19.01.2009;986.6;981.2;977.5;4;7;5;2.4;6.3;2.4;75;53;87;W;3;SE;2;NE;1;0;
20.01.2009;973.4;976;;10;10;8;2.6;5.9;3.6;93;65;83;SE;2;W;2;W;1;traces;rain
21.01.2009;978.8;980.8;982.6;10;10;10;3.2;4.4;2.2;92;83;92;SE;2;NW;2;W;2;9.1;rain
22.01.2009;984.4;982.2;980.4;10;8;1;1.9;4;0.3;92;76;92;W;3;N;2;NW;1;traces;rain
23.01.2009;972.5;961.2;959.3;10;6;10;0.7;4.5;3.5;94;79;81;SE;3;SE;4;SE;3;8.3;rain
24.01.2009;963.6;964.6;967.1;7;1;4;4.6;7.8;3.2;61;40;69;W;3;W;2;E;2;0;
25.01.2009;976.1;976.7;977.1;9;5;2;2.9;5.7;0.8;72;53;78;W;3;NW;3;NW;1;0;
26.01.2009;977.3;977.8;979.5;9;5;2;0.3;4.8;1.3;91;66;89;E;1;SE;2;SE;2;0;
27.01.2009;983.4;984.4;985.8;10;10;10;0.2;2.2;2.1;94;90;90;NE;1;NW;2;NW;2;2.8;rain and snow
28.01.2009;987.1;987.5;988.6;10;10;10;1;1.1;0.9;90;92;92;NW;4;NW;4;NW;4;6.1;rain and snow
29.01.2009;991;993.4;995.7;10;10;10;-0.3;0.3;-0.2;89;91;87;NW;4;NW;3;NW;4;3.7;snow
30.01.2009;997.8;997.2;997.4;10;10;10;-0.6;-0.2;-0.6;75;76;73;NW;3;NW;3;NW;3;traces;snow
31.01.2009;994.5;991.8;990.7;10;6;9;-1.2;0.8;-0.1;78;70;73;NW;3;NW;2;NW;2;traces;snow
01.02.2009;988.5;988.2;989.1;10;10;10;-2.4;-0.5;-0.2;91;87;85;E;2;SE;3;SE;3;0.9;snow
02.02.2009;989.5;988.7;988.7;10;10;10;0.8;1.5;1.8;92;86;84;SE;4;SE;4;SE;3;2.9;rain and snow
03.02.2009;983.2;979.1;977.4;10;10;10;1.4;2.4;2.6;93;94;92;SE;3;SE;3;SE;3;0.2;rain
04.02.2009;974.2;974.4;975.3;10;10;10;2.8;3.8;3.3;94;92;93;SE;2;NE;1;NE;1;4.7;rain
05.02.2009;978.1;977.6;978.2;10;10;10;1.3;2.9;2.7;92;90;93;SW;1;SE;2;SE;2;traces;rain
06.02.2009;974.8;971.9;971.2;10;9;9;2.3;4.4;1.8;93;88;92;SE;2;N;1;NW;1;traces;rain
07.02.2009;966.2;964.5;964.9;9;9;6;8.2;11.9;10.5;76;63;66;SE;4;S;4;S;4;0.5;rain
08.02.2009;967.3;970.5;976;10;10;10;3.1;2.5;2;84;91;91;W;2;W;4;NW;4;14;rain and snow
09.02.2009;984.5;986.3;986.2;9;7;4;1.1;4.3;-1;65;45;69;W;4;W;3;NW;2;0;
10.02.2009;977.6;973.7;974.9;8;10;10;-0.4;1.2;0.8;75;91;94;E;1;SE;3;S;2;13.2;rain and snow
11.02.2009;975.8;980;982.9;8;10;10;3;3.6;2.5;73;64;60;W;4;NW;3;NW;4;0.5;rain and snow
12.02.2009;984.2;984.9;987.6;8;9;6;0.4;2.2;-0.6;71;63;58;W;3;N;3;NW;3;0;
13.02.2009;988.5;987.7;988.2;8;8;10;-2.4;0;-0.6;66;56;55;NW;4;NW;4;NW;4;traces;snow
14.02.2009;988.9;991;993.7;9;10;10;-2.2;1.5;0.1;55;52;60;NW;4;NW;4;NW;4;traces;snow
15.02.2009;998.1;999.5;998.8;10;9;8;-2;-1.1;-2.3;64;63;61;NW;4;NW;3;W;3;traces;snow
16.02.2009;995.7;992.4;991.8;10;10;10;-2.2;-0.5;-0.3;72;83;88;W;3;W;4;W;4;7.2;snow
17.02.2009;984.3;985.8;991;10;10;7;0.9;-0.4;-3.4;92;73;63;W;4;N;4;NW;3;2.2;snow and graupel
18.02.2009;996.4;996.1;996.7;9;10;6;-4.8;-1.8;54.334934153275256;69;78;73;NW;4;W;4;NW;3;0.1;snow
19.02.2009;997.8;998;999.6;10;8;8;-3.9;-0.9;63.55876967588649;68;51;60;NW;3;NW;3;W;3;0.2;snow
20.02.2009;999;997.8;998.2;10;10;10;-2.4;-0.1;-0.1;68;75;88;W;5;W;4;W;4;4.1;snow
21.02.2009;1000;1001.6;1002.1;10;10;10;0.7;0.1;-0.9;92;75;73;NW;3;NE;2;N;2;0.6;snow
22.02.2009;999;995.6;992.6;10;10;10;-3;-0.3;-0.4;70;82;92;NE;1;S;2;S;2;12.5;rain and snow
23.02.2009;986.7;986.1;986;10;10;10;2;4.3;2.6;92;78;84;W;3;W;4;W;4;4.2;rain and snow
24.02.2009;989.9;995;999;8;9;10;0.8;2.8;1.7;86;75;78;NW;3;N;3;NW;1;traces;rain and snow
25.02.2009;1003.4;1003.2;1002.2;10;10;9;1.8;4.5;3;80;56;73;NW;2;NW;2;W;2;traces;snow
26.02.2009;997.2;993.3;992.4;9;9;10;3.2;4;3.7;66;78;76;W;4;W;4;W;5;1.8;rain and snow
27.02.2009;987;990.1;990.8;10;8;9;3;6.9;4.8;88;64;82;W;5;W;4;W;4;1.9;rain
28.02.2009;991.2;991.5;991.6;9;7;9;5.3;9.7;7.7;80;63;72;W;3;W;4;NW;2;traces;rain
01.03.2009;989.3;989.5;989.3;10;10;10;3.3;6.9;5.9;87;70;79;E;2;SE;2;E;2;traces;rain
02.03.2009;989.6;990.3;991;10;10;10;3.8;4.9;4.8;91;89;87;E;1;NE;2;E;1;4.4;rain
03.03.2009;991.6;990.7;989.6;10;10;10;4.7;8.5;7.1;93;75;88;NE;1;W;2;E;2;traces;rain
04.03.2009;981.5;975.7;;10;8;9;5.8;9.9;8.8;90;71;82;SE;3;SE;5;SE;4;traces;rain
05.03.2009;965.7;960.6;959.3;10;10;10;6.6;6.8;7;85;93;93;E;2;E;4;SE;3;15.8;rain
06.03.2009;964.1;968;970.9;10;10;10;4.6;5.2;4.5;85;82;86;W;4;W;4;W;4;16.3;rain and snow
07.03.2009;974.2;978.2;982;10;9;10;1.9;3.5;3.5;91;91;83;W;5;W;5;W;5;19;rain and snow
08.03.2009;985;984.2;981.3;8;7;8;3.9;8.7;7.2;68;45;50;NW;4;W;4;W;4;1.1;rain
09.03.2009;978.9;982.6;;10;10;10;5.6;5.6;3.9;88;73;76;W;5;W;3;W;4;5.1;rain and graupel
10.03.2009;989.1;988.3;986.4;8;9;9;4.5;9.7;6.4;70;46;60;W;4;W;4;W;3;3.2;rain
11.03.2009;982.1;989.4;993.5;10;10;9;4.3;4.5;5.5;88;84;70;W;4;NW;4;NW;3;4.7;rain
12.03.2009;995.8;994.8;993.6;9;8;9;4.3;7.5;;71;50;72;W;3;NW;4;W;2;7;rain and graupel
13.03.2009;987.4;990;993.5;9;8;9;4.9;8.9;7.5;85;60;68;W;4;NW;4;NW;3;6.3;rain and graupel
14.03.2009;996.3;995.1;994.5;9;9;9;5.5;10;7.5;80;59;61;W;2;E;2;SE;2;traces;rain
15.03.2009;993.7;996.6;998.8;10;10;9;5.5;7.6;7.5;84;90;88;;0;NW;3;W;3;10.1;rain
16.03.2009;1002.3;1003.2;1005.4;9;9;8;7.3;10.9;7.9;74;53;61;W;4;N;3;NE;2;traces;rain
17.03.2009;1005.1;1001.9;999.6;8;10;3;2.2;8.3;8.6;78;81;66;NW;1;W;3;W;4;0.6;rain
18.03.2009;1000.5;997.9;997.3;3;10;8;4.3;8.2;7.1;59;37;40;NW;4;NW;4;NW;3;2.3;rain and snow
19.03.2009;995.4;;996.4;10;9;5;1.2;4.4;2.4;91;66;64;N;2;NW;4;NW;3;2.7;"rain; snow and graupel"
20.03.2009;1000;1002;1002.9;8;9;9;0.7;3.4;2.5;69;55;59;N;3;N;3;N;3;traces;snow
21.03.2009;1002.3;1000.5;999.5;5;9;4;0.8;5.3;2.9;71;43;48;N;3;NW;3;NW;3;0;
22.03.2009;994.6;990.4;991;5;2;10;2.4;10.7;8.1;53;39;47;W;4;W;4;NW;4;0.1;rain
23.03.2009;986;982.4;975.7;9;9;10;5.8;10;10;70;56;52;W;6;W;6;W;4;5.5;rain and snow
24.03.2009;973.8;975.6;976.4;8;7;2;2.2;4.8;4.7;89;68;58;W;4;NW;5;NW;3;1.8;"rain; snow and graupel"
25.03.2009;983.6;981.4;979.4;2;8;10;-1.2;6.2;4.8;58;39;48;NW;4;NW;3;SW;2;0.6;rain
26.03.2009;980;984.2;985.3;10;7;1;3.1;9.2;5.2;92;63;69;NE;1;W;4;W;2;1;rain and graupel
27.03.2009;981.9;980.8;980.8;8;8;8;4.5;14.4;11.1;82;47;54;;0;W;2;SW;2;traces;rain
28.03.2009;980.5;975.6;975.8;4;4;7;5.7;19;14.5;86;39;46;SE;1;S;4;S;3;traces;rain
29.03.2009;981.9;981.6;982.5;9;10;10;9.1;7.9;5.3;76;91;91;N;1;N;2;NW;3;33.8;rain
30.03.2009;988.9;993.2;995.4;10;10;9;3;7.5;6.8;93;78;79;W;4;NW;3;NW;2;0.5;rain
